"","","","1993","2000","2010","2020"
"","","","Value","Value","Value","Value"
"Latvia","Use per area of cropland","Pesticides (total)","0.28","0.29","0.87","1.42"
"Lebanon","Use per area of cropland","Pesticides (total)","3.99","6.73","7.57","6.55"
"Lesotho","Use per area of cropland","Pesticides (total)","0.02","0.06","0.09","0.61"
"Liberia","Use per area of cropland","Pesticides (total)","0.27","0.11","0.75","1.43"
"Libya","Use per area of cropland","Pesticides (total)","1.01","0.32","1.13","0.84"
"Lithuania","Use per area of cropland","Pesticides (total)","0.33","0.24","0.84","1.12"
"Luxembourg","Use per area of cropland","Pesticides (total)","","2.45","2.43","2.18"
"Madagascar","Use per area of cropland","Pesticides (total)","0.03","0.04","0.07","0.21"
"Malawi","Use per area of cropland","Pesticides (total)","0.07","0.07","0.16","0.57"
"Malaysia","Use per area of cropland","Pesticides (total)","4.04","4.54","8.47","4.35"
"Mali","Use per area of cropland","Pesticides (total)","0.03","0.01","0","0"
"Malta","Use per area of cropland","Pesticides (total)","25.11","20.21","10.67","10.52"
"Mauritania","Use per area of cropland","Pesticides (total)","0.1","0.06","0.13","0.82"
"Mauritius","Use per area of cropland","Pesticides (total)","6.74","6.85","10.91","8.97"
"Mayotte","Use per area of cropland","Pesticides (total)","1.57","1.67","2.61","2.62"
"Mexico","Use per area of cropland","Pesticides (total)","1.07","1.05","2.04","1.82"
"Micronesia (Federated States of)","Use per area of cropland","Pesticides (total)","7.9","7.9","5.66","6.13"
"Mongolia","Use per area of cropland","Pesticides (total)","0.09","0.1","0.09","0.09"
"Montenegro","Use per area of cropland","Pesticides (total)","","","0.35","8.09"
"Montserrat","Use per area of cropland","Pesticides (total)","7.46","6.91","10.06","10.01"
"Morocco","Use per area of cropland","Pesticides (total)","1.08","1.39","1.52","1.46"
"Mozambique","Use per area of cropland","Pesticides (total)","0.03","0.01","0.2","0.09"
"Myanmar","Use per area of cropland","Pesticides (total)","0.02","0.05","0.27","0.94"
"Namibia","Use per area of cropland","Pesticides (total)","0.82","1.61","0.81","1.13"
"Nepal","Use per area of cropland","Pesticides (total)","0.03","0.05","0.14","0.29"
"Netherlands (Kingdom of the)","Use per area of cropland","Pesticides (total)","11.21","10.76","9.05","10.84"
"Netherlands Antilles (former)","Use per area of cropland","Pesticides (total)","25.85","29.83","29.75",""
"New Caledonia","Use per area of cropland","Pesticides (total)","23.14","20.05","23.03","26.06"
"New Zealand","Use per area of cropland","Pesticides (total)","8.6","8.01","9.27","8.79"
"Nicaragua","Use per area of cropland","Pesticides (total)","0.63","1.83","6.62","8.7"
"Niger","Use per area of cropland","Pesticides (total)","0","0","0","0"
"Nigeria","Use per area of cropland","Pesticides (total)","0.03","0.1","0.63","1.32"
"Niue","Use per area of cropland","Pesticides (total)","0.08","0.86","1.7","0.61"
"North Macedonia","Use per area of cropland","Pesticides (total)","0.99","0.49","0.22","0.21"
"Norway","Use per area of cropland","Pesticides (total)","0.84","0.39","0.84","0.85"
"Oman","Use per area of cropland","Pesticides (total)","1.44","0.62","3.52","3.46"
"Pakistan","Use per area of cropland","Pesticides (total)","0.16","0.88","0.49","0.37"
"Palau","Use per area of cropland","Pesticides (total)","3.11","3.11","2.03","10.8"
"Palestine","Use per area of cropland","Pesticides (total)","5.74","6.61","13.77","10.3"
"Panama","Use per area of cropland","Pesticides (total)","5.01","1.58","2.57","1.3"
"Papua New Guinea","Use per area of cropland","Pesticides (total)","0.89","0.26","0.41","0.72"
"Paraguay","Use per area of cropland","Pesticides (total)","2.43","1.13","5.2","4.18"
"Peru","Use per area of cropland","Pesticides (total)","0.28","0.42","1.01","1.74"
"Philippines","Use per area of cropland","Pesticides (total)","1.62","1.79","2.01","3.11"
"Poland","Use per area of cropland","Pesticides (total)","0.6","0.62","1.73","2.1"
"Portugal","Use per area of cropland","Pesticides (total)","3","6.09","7.4","5.27"
"Republic of Korea","Use per area of cropland","Pesticides (total)","12.65","13.39","11.91","10.95"
"Republic of Moldova","Use per area of cropland","Pesticides (total)","1.14","1.33","1.17","1.74"
"Romania","Use per area of cropland","Pesticides (total)","2.44","0.95","0.75","0.6"
"Russian Federation","Use per area of cropland","Pesticides (total)","0.2","0.24","0.36","0.73"
"Rwanda","Use per area of cropland","Pesticides (total)","0.11","0.11","0.64","1.3"
"Saint Helena, Ascension and Tristan da Cunha","Use per area of cropland","Pesticides (total)","0.22","0.65","0.98","1.81"
"Saint Lucia","Use per area of cropland","Pesticides (total)","27.8","20.27","22.44","25.33"
"Samoa","Use per area of cropland","Pesticides (total)","0.47","0.15","1.78","4.31"
"Sao Tome and Principe","Use per area of cropland","Pesticides (total)","0.25","0.15","0.58","0.6"
"Saudi Arabia","Use per area of cropland","Pesticides (total)","0.26","0.8","1.38","1.99"
"Senegal","Use per area of cropland","Pesticides (total)","0.11","0.15","0.19","0.15"
"Serbia","Use per area of cropland","Pesticides (total)","","","0.68","0.9"
"Serbia and Montenegro","Use per area of cropland","Pesticides (total)","0.45","0.34","",""
"Sierra Leone","Use per area of cropland","Pesticides (total)","0.43","0.37","0.09","0.21"
